state,year,pct_65plus,pct_nh_white
MT,2009,14.48,87.6
NE,2009,13.43,83.29
NV,2009,11.61,55.63
NH,2009,13.47,92.66
NJ,2009,13.42,60.88
NM,2009,13.17,40.99
NY,2009,13.39,59.69
NC,2009,12.67,66.66
ND,2009,14.74,89.06
OH,2009,13.87,82.1
OK,2009,13.43,70.71
OR,2009,13.47,79.43
PA,2009,15.43,80.75
RI,2009,14.41,77.73
SC,2009,13.57,64.78
SD,2009,14.41,85.09
TN,2009,13.28,76.46
TX,2009,10.23,46.59
UT,2009,9.01,81.06
VT,2009,14.36,94.76
VA,2009,12.12,66.12
WA,2009,12.03,74.41
WI,2009,13.45,84.52
WY,2009,12.23,86.1
AL,2010,13.75,67.01
AK,2010,7.47,64.04
AZ,2010,13.83,57.75
AR,2010,14.38,74.49
CA,2010,11.43,40.02
CO,2010,10.93,69.88
CT,2010,14.21,71.04
DE,2010,14.39,65.34
DC,2010,11.49,34.76
FL,2010,17.37,57.76
GA,2010,10.64,55.8
HI,2010,14.53,22.65
ID,2010,12.53,84.02
IL,2010,12.57,63.61
IN,2010,12.99,81.5
IA,2010,14.85,88.55
KS,2010,13.26,78.12
KY,2010,13.33,86.44
LA,2010,12.31,60.29
ME,2010,15.88,94.46
MD,2010,12.28,54.62
MA,2010,13.82,76.31
MI,2010,13.82,76.49
MN,2010,12.93,83.06
MS,2010,12.89,58.04
MO,2010,14.06,80.96
MT,2010,14.88,87.82
NE,2010,13.54,82.21
NV,2010,12.1,54.04
NH,2010,13.64,92.17
NJ,2010,13.53,59.2
NM,2010,13.33,40.44
NY,2010,13.53,58.21
NC,2010,12.97,65.16
ND,2010,14.54,88.94
OH,2010,14.09,81.05
OK,2010,13.55,68.6
OR,2010,13.93,78.32
PA,2010,15.46,79.39
RI,2010,14.45,76.35
SC,2010,13.69,64.04
SD,2010,14.44,84.61
TN,2010,13.53,75.6
TX,2010,10.37,45.19
UT,2010,9.03,80.33
VT,2010,14.57,94.27
VA,2010,12.22,64.74
WA,2010,12.31,72.48
WI,2010,13.7,83.28
WY,2010,12.43,85.78
AL,2011,14.03,66.68
AK,2011,8.08,63.63
AZ,2011,14.24,57.28
AR,2011,14.59,74.25
CA,2011,11.67,39.58
CO,2011,11.25,69.59
CT,2011,14.39,70.7
DE,2011,14.76,65.02
DC,2011,11.28,35.25
FL,2011,17.63,57.34
GA,2011,10.96,55.44
HI,2011,14.8,22.9
ID,2011,12.89,83.48
IL,2011,12.76,63.13
IN,2011,13.14,81.26
IA,2011,14.96,88.38
KS,2011,13.3,77.71
KY,2011,13.59,86.08
LA,2011,12.49,59.97
ME,2011,16.36,94.26
MD,2011,12.56,54.24
MA,2011,13.99,75.81
MI,2011,14.05,76.31
MN,2011,13.12,82.73
MS,2011,12.99,57.69
MO,2011,14.22,80.79
MT,2011,15.12,87.42
NE,2011,13.56,81.78
NV,2011,12.47,53.46
NH,2011,14.0,91.99
NJ,2011,13.68,58.55
NM,2011,13.59,40.06
NY,2011,13.69,57.82
NC,2011,13.21,64.9
ND,2011,14.4,88.53
OH,2011,14.27,80.92
OK,2011,13.65,68.17
OR,2011,14.29,77.9
PA,2011,15.56,79.07
RI,2011,14.62,75.84
SC,2011,14.0,63.91
SD,2011,14.56,84.55
TN,2011,13.73,75.33
TX,2011,10.55,44.73
UT,2011,9.17,79.87
VT,2011,14.95,94.04
VA,2011,12.48,64.35
WA,2011,12.61,71.94
WI,2011,13.87,83.0
WY,2011,12.68,85.55
AL,2012,14.52,66.62
AK,2012,8.49,62.95
AZ,2012,14.82,56.92
AR,2012,14.96,73.89
CA,2012,12.09,39.18
CO,2012,11.78,69.39
DE,2012,15.35,64.29
DC,2012,11.37,35.26
CT,2012,14.82,69.99
FL,2012,18.16,56.77
GA,2012,11.49,55.04
ID,2012,13.22,83.41
HI,2012,15.11,22.77
IL,2012,13.17,62.86
IN,2012,13.61,80.91
IA,2012,15.28,88.01
KS,2012,13.66,77.44
KY,2012,14.01,85.84
LA,2012,12.99,59.73
ME,2012,17.0,94.09
MD,2012,12.96,53.81
MA,2012,14.46,75.29
MI,2012,14.6,76.12
MN,2012,13.57,82.26
MS,2012,13.49,57.53
MO,2012,14.68,80.52
MT,2012,15.78,87.23
NE,2012,13.85,81.33
NV,2012,13.03,52.75
NH,2012,14.7,91.8
NJ,2012,14.1,57.93
NM,2012,14.11,39.66
NY,2012,14.1,57.37
NC,2012,13.81,64.53
ND,2012,14.43,88.07
OH,2012,14.79,80.64
OK,2012,14.05,67.78
OR,2012,14.92,77.62
PA,2012,16.0,78.63
RI,2012,15.12,75.37
SC,2012,14.71,63.87
SD,2012,14.53,83.82
TN,2012,14.26,74.98
TX,2012,10.89,44.34
VT,2012,15.73,93.95
UT,2012,9.52,79.81
VA,2012,12.98,63.95
WA,2012,13.16,71.44
WI,2012,14.39,82.75
WY,2012,13.02,84.6
MS,2013,13.85,57.37
MO,2013,15.03,80.39
MT,2013,16.26,87.04
NE,2013,14.16,80.96
NV,2013,13.65,52.1
NH,2013,15.34,91.35
NJ,2013,14.43,57.3
NM,2013,14.73,39.28
NY,2013,14.4,56.92
NC,2013,14.26,64.24
ND,2013,14.18,87.39
OH,2013,15.14,80.34
OK,2013,14.23,67.44
OR,2013,15.38,77.35
PA,2013,16.36,78.24
RI,2013,15.49,74.61
SC,2013,15.19,63.82
SD,2013,14.74,83.45
TN,2013,14.63,74.85
TX,2013,11.22,43.95
VT,2013,16.38,93.97
UT,2013,9.74,79.53
VA,2013,13.37,63.51
WA,2013,13.64,70.88
WI,2013,14.78,82.47
WY,2013,13.31,84.72
AL,2013,14.93,66.3
AK,2013,8.92,62.46
AZ,2013,15.37,56.6
AR,2013,15.33,73.6
CA,2013,12.51,38.83
CO,2013,12.24,69.15
DE,2013,15.87,63.96
DC,2013,11.44,35.62
CT,2013,15.14,69.33
FL,2013,18.64,56.22
GA,2013,11.92,54.59
ID,2013,13.84,83.17
HI,2013,15.68,22.99
IL,2013,13.51,62.67
