state,year,median_household_income,population
MO,2022,64811.0,6177957.0
MT,2022,67631.0,1122867.0
NE,2022,69597.0,1967923.0
NV,2022,72333.0,3177772.0
NH,2022,89992.0,1395231.0
NJ,2022,96346.0,9261699.0
NM,2022,59726.0,2113344.0
NY,2022,79557.0,19677151.0
NC,2022,67481.0,10698973.0
ND,2022,71970.0,779261.0
OH,2022,65720.0,11756058.0
OK,2022,59673.0,4019800.0
OR,2022,75657.0,4240137.0
PA,2022,71798.0,12972008.0
RI,2022,81854.0,1093734.0
SC,2022,64115.0,5282634.0
SD,2022,69728.0,909824.0
TN,2022,65254.0,7051339.0
TX,2022,72284.0,30029572.0
UT,2022,89168.0,3380800.0
VT,2022,73991.0,647064.0
VA,2022,85873.0,8683619.0
WA,2022,91306.0,7785786.0
WI,2022,70996.0,5892539.0
WY,2022,70042.0,581381.0
AL,2023,62212.0,5108468.0
AK,2023,86631.0,733406.0
AZ,2023,77315.0,7431344.0
AR,2023,58700.0,3067732.0
CA,2023,95521.0,38965193.0
CO,2023,92911.0,5877610.0
CT,2023,91665.0,3617176.0
DE,2023,81361.0,1031890.0
DC,2023,108210.0,678972.0
FL,2023,73311.0,22610726.0
GA,2023,74632.0,11029227.0
HI,2023,95322.0,1435138.0
ID,2023,74942.0,1964726.0
IL,2023,80306.0,12549689.0
IN,2023,69477.0,6862199.0
IA,2023,71433.0,3207004.0
KS,2023,70333.0,2940547.0
KY,2023,61118.0,4526154.0
LA,2023,58229.0,4573749.0
ME,2023,73733.0,1395722.0
MD,2023,98678.0,6180253.0
MA,2023,99858.0,7001399.0
MI,2023,69183.0,10037261.0
MN,2023,85086.0,5737915.0
MS,2023,54203.0,2939690.0
MO,2023,68545.0,6196156.0
MT,2023,70804.0,1132812.0
NE,2023,74590.0,1978379.0
NV,2023,76364.0,3194176.0
NH,2023,96838.0,1402054.0
NJ,2023,99781.0,9290841.0
NM,2023,62268.0,2114371.0
NY,2023,82095.0,19571216.0
NC,2023,70804.0,10835491.0
ND,2023,76525.0,783926.0
OH,2023,67769.0,11785935.0
OK,2023,62138.0,4053824.0
OR,2023,80160.0,4233358.0
PA,2023,73824.0,12961683.0
RI,2023,84972.0,1095962.0
SC,2023,67804.0,5373555.0
SD,2023,71810.0,919318.0
TN,2023,67631.0,7126489.0
TX,2023,75780.0,30503301.0
UT,2023,93421.0,3417734.0
VT,2023,81211.0,647464.0
VA,2023,89931.0,8715698.0
WA,2023,94605.0,7812880.0
WI,2023,74631.0,5910955.0
WY,2023,72415.0,584057.0
