state,year,median_household_income,population
PA,2008,50713.0,12448279.0
RI,2008,55701.0,1050788.0
SC,2008,44625.0,4479800.0
SD,2008,46032.0,804194.0
TN,2008,43614.0,6214888.0
TX,2008,50043.0,24326974.0
UT,2008,56633.0,2736424.0
VT,2008,52104.0,621270.0
VA,2008,61233.0,7769089.0
WA,2008,58078.0,6549224.0
WI,2008,52094.0,5627968.0
WY,2008,53207.0,532668.0
AL,2009,40489.0,4708708.0
AK,2009,66953.0,698473.0
AZ,2009,48745.0,6595778.0
AR,2009,37823.0,2889450.0
CA,2009,58931.0,36961664.0
CO,2009,55430.0,5024748.0
CT,2009,67034.0,3518288.0
DE,2009,56860.0,885122.0
DC,2009,59290.0,599657.0
FL,2009,44736.0,18537969.0
GA,2009,47590.0,9829211.0
HI,2009,64098.0,1295178.0
ID,2009,44926.0,1545801.0
IL,2009,53966.0,12910409.0
IN,2009,45424.0,6423113.0
IA,2009,48044.0,3007857.0
KS,2009,47817.0,2818747.0
KY,2009,40072.0,4314113.0
LA,2009,42492.0,4492076.0
ME,2009,45734.0,1318301.0
MD,2009,69272.0,5699478.0
MA,2009,64081.0,6593587.0
MI,2009,45255.0,9969727.0
MN,2009,55616.0,5266215.0
MS,2009,36646.0,2951996.0
MO,2009,45229.0,5987580.0
MT,2009,42322.0,974989.0
NE,2009,47357.0,1796622.0
NV,2009,53341.0,2643085.0
NH,2009,60567.0,1324575.0
NJ,2009,68342.0,8707740.0
NM,2009,43028.0,2009671.0
NY,2009,54659.0,19541453.0
NC,2009,43674.0,9380884.0
ND,2009,47827.0,646844.0
OH,2009,45395.0,11542645.0
OK,2009,41664.0,3687050.0
OR,2009,48457.0,3825657.0
PA,2009,49520.0,12604767.0
RI,2009,54119.0,1053209.0
SC,2009,42442.0,4561242.0
SD,2009,45043.0,812383.0
TN,2009,41725.0,6296254.0
TX,2009,48259.0,24782302.0
UT,2009,55117.0,2784572.0
VT,2009,51618.0,621760.0
VA,2009,59330.0,7882590.0
WA,2009,56548.0,6664195.0
WI,2009,49993.0,5654774.0
WY,2009,52664.0,544270.0
AL,2010,40474.0,4785298.0
AK,2010,64576.0,713985.0
AZ,2010,46789.0,6413737.0
AR,2010,38307.0,2921606.0
CA,2010,57708.0,37349363.0
CO,2010,54046.0,5049071.0
CT,2010,64032.0,3577073.0
DE,2010,55847.0,899769.0
DC,2010,60903.0,604453.0
FL,2010,44409.0,18843326.0
GA,2010,46430.0,9712587.0
HI,2010,63030.0,1363621.0
ID,2010,43490.0,1571450.0
IL,2010,52972.0,12843166.0
IN,2010,44613.0,6490621.0
IA,2010,47961.0,3049883.0
KS,2010,48257.0,2859169.0
KY,2010,40062.0,4346266.0
LA,2010,42505.0,4544228.0
ME,2010,45815.0,1327567.0
MD,2010,68854.0,5785982.0
MA,2010,62072.0,6557254.0
MI,2010,45413.0,9877574.0
MN,2010,55459.0,5310584.0
MS,2010,36851.0,2970036.0
MO,2010,44301.0,5996231.0
MT,2010,42666.0,990898.0
NE,2010,48408.0,1830429.0
NV,2010,51001.0,2704642.0
NH,2010,61042.0,1316759.0
NJ,2010,67681.0,8801624.0
NM,2010,42090.0,2065932.0
NY,2010,54148.0,19392283.0
NC,2010,43326.0,9561558.0
ND,2010,48670.0,674499.0
OH,2010,45090.0,11536182.0
OK,2010,42072.0,3761702.0
OR,2010,46560.0,3838957.0
PA,2010,49288.0,12709630.0
RI,2010,52254.0,1052886.0
SC,2010,42018.0,4636312.0
SD,2010,45904.0,816463.0
TN,2010,41461.0,6356897.0
TX,2010,48615.0,25257114.0
UT,2010,54744.0,2776469.0
VT,2010,49406.0,625960.0
VA,2010,60674.0,8024617.0
WA,2010,55631.0,6744496.0
WI,2010,49001.0,5691047.0
WY,2010,53512.0,564460.0
AL,2011,41415.0,4802740.0
AK,2011,67825.0,722718.0
AZ,2011,46709.0,6482505.0
AR,2011,38758.0,2937979.0
CA,2011,57287.0,37691912.0
CO,2011,55387.0,5116796.0
CT,2011,65753.0,3580709.0
DE,2011,58814.0,907135.0
DC,2011,63124.0,617996.0
FL,2011,44299.0,19057542.0
GA,2011,46007.0,9815210.0
HI,2011,61821.0,1374810.0
ID,2011,43341.0,1584985.0
IL,2011,53234.0,12869259.0
IN,2011,46438.0,6516922.0
IA,2011,49427.0,3062309.0
KS,2011,48964.0,2871238.0
KY,2011,41141.0,4369356.0
LA,2011,41734.0,4574836.0
ME,2011,46033.0,1328188.0
MD,2011,70004.0,5828289.0
MA,2011,62859.0,6587536.0
MI,2011,45981.0,9876187.0
MN,2011,56954.0,5344861.0
MS,2011,36919.0,2978512.0
MO,2011,45247.0,6010688.0
MT,2011,44222.0,998199.0
NE,2011,50296.0,1842641.0
NV,2011,48927.0,2723322.0
NH,2011,62647.0,1318194.0
NJ,2011,67458.0,8821155.0
NM,2011,41963.0,2082224.0
