state,year,healthcare_spending_per_capita,total_health_spending_millions
MD,2001,,24683.0
MD,2002,,27125.0
MD,2003,,29600.0
MD,2004,,31749.0
MD,2005,6220.476449091593,33972.0
MD,2006,6573.503305983357,36915.0
MD,2007,6988.3581354221105,39263.0
MD,2008,7291.611380792769,41078.0
MD,2009,7558.411489613611,43079.0
MD,2010,7747.8637161332335,44829.0
MD,2011,7944.012385109935,46300.0
MD,2012,8115.6408725677675,47757.0
MD,2013,8212.266399316963,48689.0
MD,2014,8550.62247266627,51102.0
MD,2015,8974.592272477312,53905.0
MD,2016,9306.655572632819,55993.0
MD,2017,9554.413230148424,57825.0
MD,2018,9932.947392216549,60022.0
MD,2019,10263.857829061413,62052.0
MD,2020,,65641.0
NJ,2001,,42378.0
NJ,2002,,46225.0
NJ,2003,,49013.0
NJ,2004,,51867.0
NJ,2005,6556.413614761941,55870.0
NJ,2006,6711.054769524194,58551.0
NJ,2007,7131.42649253044,61943.0
NJ,2008,7376.655612835742,64049.0
NJ,2009,7798.464354700531,67907.0
NJ,2010,7813.330812586404,68770.0
NJ,2011,7976.506477893201,70362.0
NJ,2012,8319.279289848713,73747.0
NJ,2013,8494.226368947177,75593.0
NJ,2014,8936.947419355742,79880.0
NJ,2015,9390.028793215639,84116.0
NJ,2016,9900.084622127932,88551.0
NJ,2017,10205.488913396975,91907.0
NJ,2018,10644.865813850112,94830.0
NJ,2019,11275.597572220364,100152.0
NJ,2020,,105416.0
NY,2001,,103412.0
NY,2002,,111529.0
NY,2003,,121396.0
NY,2004,,128842.0
NY,2005,7230.930661702923,134895.0
NY,2006,7407.264294552683,143006.0
NY,2007,7774.282663001434,150026.0
NY,2008,7944.106752195721,154833.0
NY,2009,8403.622801231822,164219.0
NY,2010,8762.867167315988,169932.0
NY,2011,9007.203985657068,175327.0
NY,2012,9086.797564937944,177831.0
NY,2013,9358.852548253339,183912.0
NY,2014,9759.332757594653,192710.0
NY,2015,10232.882333421281,202568.0
NY,2016,10866.794606045016,214568.0
NY,2017,11408.808901468503,226458.0
NY,2018,12099.502159658614,236451.0
NY,2019,12938.299574047138,251696.0
NY,2020,,270847.0
PA,2001,,62187.0
PA,2002,,66457.0
PA,2003,,71666.0
PA,2004,,76522.0
PA,2005,6830.619909748165,81825.0
PA,2006,6906.889937407465,85926.0
PA,2007,7314.849311401655,90944.0
PA,2008,7555.261253382897,94050.0
PA,2009,7693.041846787013,96969.0
PA,2010,8069.786453264179,102564.0
PA,2011,8373.848749804401,106707.0
PA,2012,8581.164341919042,109526.0
PA,2013,8805.679687666967,112482.0
PA,2014,9146.17099008861,116954.0
PA,2015,9552.350817648705,122294.0
PA,2016,9983.395945644583,127630.0
PA,2017,10332.87397475014,132318.0
PA,2018,10911.247390111392,139741.0
PA,2019,11172.170199490094,143026.0
PA,2020,,148327.0
IL,2001,,55549.0
IL,2002,,59949.0
IL,2003,,63748.0
IL,2004,,67275.0
IL,2005,5756.268452554112,71610.0
IL,2006,5953.7233955503325,76398.0
IL,2007,6388.616482895065,82110.0
IL,2008,6549.283482219675,84496.0
IL,2009,6798.932551246053,87777.0
IL,2010,7157.503064275585,91925.0
IL,2011,7299.643281714977,93941.0
IL,2012,7509.0551604609,96681.0
IL,2013,7702.915704578472,99230.0
IL,2014,8020.135739229134,103304.0
IL,2015,8299.847706006107,106736.0
IL,2016,8643.570120748764,110651.0
IL,2017,8833.369538548712,113085.0
IL,2018,9105.899970803102,116019.0
IL,2019,9492.795076571867,120291.0
IL,2020,,128263.0
IN,2001,,26567.0
IN,2002,,28710.0
IN,2003,,31167.0
IN,2004,,33620.0
IN,2005,5809.098804405837,35397.0
IN,2006,6014.394505759069,37972.0
IN,2007,6329.735335931901,40164.0
IN,2008,6428.310661536397,40992.0
IN,2009,6748.285449749988,43345.0
IN,2010,6859.4361001820935,44522.0
IN,2011,7104.580966290528,46300.0
IN,2012,7620.0787660535625,49815.0
IN,2013,7646.1344272064935,50242.0
IN,2014,7996.53774412201,52752.0
IN,2015,8357.352621274744,55323.0
IN,2016,8781.92892473496,58251.0
IN,2017,9008.34551055691,60057.0
IN,2018,9306.057283172227,62275.0
IN,2019,9925.107902758362,66818.0
IN,2020,,71040.0
MI,2001,,42936.0
MI,2002,,45837.0
MI,2003,,49153.0
MI,2004,,52899.0
MI,2005,5668.696923435747,55925.0
MI,2006,5944.148381633542,60010.0
MI,2007,6274.13788686893,63192.0
MI,2008,6515.270474443645,65175.0
MI,2009,6777.01606072062,67565.0
