state,year,poverty_rate,uninsurance_rate
OR,2012,17.21,14.92
PA,2012,13.71,9.75
RI,2012,13.75,11.1
SC,2012,18.27,16.83
SD,2012,13.41,11.53
TN,2012,17.94,13.88
TX,2012,17.93,22.52
VT,2012,11.82,6.46
UT,2012,12.83,14.46
VA,2012,11.74,12.54
WA,2012,13.54,13.91
WI,2012,13.23,8.95
WY,2012,12.65,15.36
MS,2013,24.05,17.09
MO,2013,15.89,13.03
MT,2013,16.52,16.46
NE,2013,13.19,11.33
NV,2013,15.76,20.68
NH,2013,8.7,10.72
NJ,2013,11.45,13.2
NM,2013,21.93,18.64
NY,2013,15.97,10.67
NC,2013,17.89,15.64
ND,2013,11.8,10.35
OH,2013,15.97,11.03
OK,2013,16.78,17.66
OR,2013,16.67,14.66
PA,2013,13.68,9.73
RI,2013,14.29,11.63
SC,2013,18.58,15.79
SD,2013,14.17,11.28
TN,2013,17.79,13.87
TX,2013,17.54,22.13
VT,2013,12.29,7.23
UT,2013,12.67,13.99
VA,2013,11.72,12.3
WA,2013,14.15,13.99
WI,2013,13.51,9.13
WY,2013,10.9,13.44
AL,2013,18.73,13.57
AK,2013,9.33,18.53
AZ,2013,18.63,17.15
AR,2013,19.68,15.99
CA,2013,16.84,17.18
CO,2013,12.96,14.1
DE,2013,12.37,9.14
DC,2013,18.89,6.65
CT,2013,10.73,9.39
FL,2013,17.01,20.02
GA,2013,18.97,18.84
ID,2013,15.58,16.17
HI,2013,10.85,6.75
IL,2013,14.67,12.74
IN,2013,15.94,13.95
IA,2013,12.67,8.13
KS,2013,13.99,12.27
KY,2013,18.77,14.3
LA,2013,19.76,16.61
ME,2013,13.96,11.19
MD,2013,10.12,10.17
MA,2013,11.93,3.73
MI,2013,17.05,10.95
MN,2013,11.19,8.2
AL,2014,19.25,12.15
AK,2014,11.23,17.21
AZ,2014,18.24,13.64
AR,2014,18.87,11.78
CA,2014,16.45,12.45
CO,2014,12.04,10.3
DE,2014,12.48,7.77
DC,2014,17.73,5.28
CT,2014,10.75,6.93
FL,2014,16.5,16.57
GA,2014,18.3,15.83
ID,2014,14.85,13.56
HI,2014,11.36,5.27
IL,2014,14.35,9.75
IN,2014,15.24,11.94
IA,2014,12.24,6.17
KS,2014,13.56,10.24
KY,2014,19.12,8.46
LA,2014,19.84,14.77
ME,2014,14.13,10.15
MD,2014,10.11,7.87
MA,2014,11.63,3.28
MI,2014,16.2,8.54
MN,2014,11.46,5.88
MS,2014,21.52,14.49
MO,2014,15.46,11.66
MT,2014,15.43,14.22
NE,2014,12.43,9.67
NV,2014,15.24,15.21
NH,2014,9.16,9.18
NJ,2014,11.1,10.93
NM,2014,21.32,14.52
NY,2014,15.93,8.7
NC,2014,17.22,13.08
ND,2014,11.55,7.85
OH,2014,15.84,8.36
OK,2014,16.59,15.36
OR,2014,16.55,9.73
PA,2014,13.6,8.46
RI,2014,14.34,7.42
SC,2014,17.99,13.55
SD,2014,14.17,9.81
TN,2014,18.34,12.04
TX,2014,17.17,19.06
VT,2014,12.15,4.95
UT,2014,11.73,12.53
VA,2014,11.8,10.89
WA,2014,13.19,9.24
WI,2014,13.18,7.35
WY,2014,11.19,11.96
MS,2015,22.0,12.69
MO,2015,14.83,9.77
MT,2015,14.62,11.65
NE,2015,12.55,8.24
NV,2015,14.67,12.28
NH,2015,8.23,6.34
NJ,2015,10.77,8.71
NM,2015,20.44,10.93
NY,2015,15.4,7.06
NC,2015,16.42,11.19
ND,2015,10.96,7.76
OH,2015,14.82,6.52
OK,2015,16.09,13.9
OR,2015,15.36,7.02
PA,2015,13.16,6.36
RI,2015,13.88,5.71
SC,2015,16.65,10.9
SD,2015,13.75,10.21
TN,2015,16.74,10.27
TX,2015,15.85,17.1
VT,2015,10.21,3.82
UT,2015,11.26,10.48
VA,2015,11.18,9.14
WA,2015,12.19,6.62
WI,2015,12.06,5.66
WY,2015,11.08,11.53
AL,2015,18.5,10.13
AK,2015,10.34,14.86
AZ,2015,17.37,10.83
AR,2015,19.07,9.49
CA,2015,15.34,8.58
CO,2015,11.49,8.06
DE,2015,12.43,5.85
DC,2015,17.32,3.78
CT,2015,10.54,5.95
FL,2015,15.7,13.33
GA,2015,17.05,13.85
ID,2015,15.14,11.05
HI,2015,10.61,3.97
IL,2015,13.56,7.1
IN,2015,14.54,9.63
IA,2015,12.16,5.03
KS,2015,13.03,9.14
KY,2015,18.51,6.02
LA,2015,19.6,11.95
ME,2015,13.35,8.4
MD,2015,9.73,6.59
MA,2015,11.47,2.82
MI,2015,15.77,6.08
MN,2015,10.18,4.51
MS,2016,20.84,11.84
MO,2016,13.99,8.9
MT,2016,13.32,8.12
NE,2016,11.42,8.55
NV,2016,13.79,11.37
NH,2016,7.3,5.9
NJ,2016,10.44,7.98
NM,2016,19.83,9.17
NY,2016,14.73,6.06
NC,2016,15.39,10.43
ND,2016,10.72,7.03
OH,2016,14.58,5.63
OK,2016,16.29,13.77
OR,2016,13.35,6.23
PA,2016,12.87,5.63
RI,2016,12.79,4.32
SC,2016,15.27,10.0
SD,2016,13.25,8.74
TN,2016,15.77,9.05
TX,2016,15.65,16.6
VT,2016,11.89,3.72
UT,2016,10.22,8.75
VA,2016,10.99,8.72
WA,2016,11.26,5.96
WI,2016,11.75,5.26
WY,2016,11.32,11.55
AL,2016,17.09,9.1
AK,2016,9.89,14.01
AZ,2016,16.36,9.98
AR,2016,17.22,7.9
CA,2016,14.35,7.34
CO,2016,11.05,7.52
DE,2016,11.67,5.67
GA,2016,15.97,12.94
DC,2016,18.58,3.93
CT,2016,9.77,4.89
FL,2016,14.73,12.54
ID,2016,14.37,10.11
HI,2016,9.33,3.53
IL,2016,12.97,6.47
IN,2016,14.09,8.12
IA,2016,11.76,4.26
KS,2016,12.12,8.73
KY,2016,18.47,5.13
LA,2016,20.2,10.26
ME,2016,12.48,8.05
MD,2016,9.66,6.14
MA,2016,10.44,2.54
MI,2016,14.96,5.37
MN,2016,9.88,4.12
MS,2017,19.77,12.04
MO,2017,13.42,9.14
MT,2017,12.47,8.46
NE,2017,10.77,8.29
NV,2017,13.0,11.23
NH,2017,7.7,5.82
NJ,2017,9.99,7.73
NM,2017,19.65,9.1
NY,2017,14.08,5.68
NC,2017,14.7,10.68
ND,2017,10.32,7.53
OH,2017,13.97,5.97
OK,2017,15.83,14.16
OR,2017,13.24,6.84
PA,2017,12.49,5.49
RI,2017,11.62,4.62
SC,2017,15.4,10.99
SD,2017,13.0,9.08
TN,2017,14.95,9.51
TX,2017,14.73,17.3
VT,2017,11.31,4.55
UT,2017,9.71,9.16
VA,2017,10.64,8.83
WA,2017,11.03,6.11
WI,2017,11.33,5.41
WY,2017,11.33,12.25
AL,2017,16.89,9.37
AK,2017,11.11,13.66
AZ,2017,14.86,10.06
AR,2017,16.4,7.86
CA,2017,13.3,7.16
CO,2017,10.29,7.51
DE,2017,13.58,5.41
DC,2017,16.64,3.8
CT,2017,9.59,5.48
FL,2017,14.05,12.94
GA,2017,14.95,13.43
ID,2017,12.83,10.15
HI,2017,9.55,3.85
IL,2017,12.55,6.81
IN,2017,13.48,8.17
IA,2017,10.73,4.71
KS,2017,11.9,8.73
KY,2017,17.24,5.38
LA,2017,19.75,8.35
ME,2017,11.07,8.1
MD,2017,9.28,6.14
MA,2017,10.45,2.8
MI,2017,14.16,5.17
MN,2017,9.49,4.39
WI,2018,11.05,5.46
WY,2018,11.06,10.46
MS,2018,19.67,12.13
MO,2018,13.23,9.42
MT,2018,13.02,8.22
NE,2018,11.0,8.29
NV,2018,12.95,11.21
NH,2018,7.64,5.75
NJ,2018,9.52,7.44
NM,2018,19.47,9.52
NY,2018,13.61,5.39
NC,2018,14.04,10.72
ND,2018,10.68,7.25
OH,2018,13.89,6.46
OK,2018,15.61,14.2
OR,2018,12.56,7.06
PA,2018,12.25,5.55
RI,2018,12.91,4.08
SC,2018,15.27,10.47
SD,2018,13.1,9.8
TN,2018,15.31,10.12
TX,2018,14.89,17.71
VT,2018,10.98,4.03
UT,2018,9.03,9.42
VA,2018,10.7,8.81
WA,2018,10.26,6.43
AL,2018,16.8,10.01
AK,2018,10.91,12.64
AZ,2018,14.02,10.62
AR,2018,17.25,8.23
CA,2018,12.8,7.23
CO,2018,9.64,7.52
DE,2018,12.46,5.67
DC,2018,16.15,3.16
CT,2018,10.42,5.3
FL,2018,13.6,13.0
GA,2018,14.34,13.65
ID,2018,11.8,11.11
HI,2018,8.84,4.08
IL,2018,12.13,6.96
IN,2018,13.14,8.27
IA,2018,11.24,4.72
KS,2018,11.97,8.77
KY,2018,16.88,5.64
LA,2018,18.63,7.98
ME,2018,11.64,8.02
MD,2018,8.95,6.0
MA,2018,9.96,2.77
MI,2018,14.05,5.41
MN,2018,9.64,4.4
MS,2019,19.6,12.97
MO,2019,12.94,10.03
MT,2019,12.65,8.27
NE,2019,9.89,8.29
