state,year,mean_log_premium_exp,median_log_premium_exp,sd_log_premium_exp,mean_premium_exp,n_plans_exp,mean_persons_covered_exp,mean_log_premium_nonexp,median_log_premium_nonexp,sd_log_premium_nonexp,mean_premium_nonexp,n_plans_nonexp,mean_persons_covered_nonexp,ACA_state,Post_ACA,ACA_x_Post,unemployment_rate,median_household_income,population,pct_65plus,pct_nh_white,poverty_rate,uninsurance_rate,medicaid_expansion,marketplace_SBM,healthcare_spending_per_capita,pre_aca_guaranteed_issue,year_2001,year_2002,year_2003,year_2005,year_2006,year_2007,year_2008,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
AL,2023,7.692434297049071,8.446536167347896,1.411247328875214,3998.7919963737377,365,565.8547945205479,5.832403259903086,5.838546074437499,1.1463572422471509,672.5224929873709,1688,666.071682464455,0,1,0,2.5,62212.0,5108468.0,18.25,63.34,15.59,8.49,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AL,2024,7.908765550106562,8.558921441829208,1.3706581253639436,4769.766437266185,443,533.7155756207675,5.890737227077631,5.930985714822973,1.089559926086122,665.0396535823795,1923,655.1294851794072,0,1,0,3.2,66659.0,5157699.0,18.519227275573854,62.800814859494515,15.2,8.2,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AR,2001,6.901465178703643,6.784476735865332,1.3190584472993356,1968.579204985604,195,514.5230769230769,6.123071059787659,5.9431454258265815,1.485391257315553,1177.4962623018353,789,7086.017743979721,1,0,0,4.8,,,,,,,0.0,0.0,,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2002,7.148637056433951,7.675820856318629,1.323770825271035,2447.303689865621,249,578.7751004016064,5.989258301772696,5.82988219041602,1.4845452294497248,1045.8846163480457,858,3562.36013986014,1,0,0,5.3,,,,,,,0.0,0.0,,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2003,6.963844438854686,6.728728289137613,1.4233223781202238,2325.485452216936,243,611.2098765432099,5.946120716271918,5.715184030880215,1.4139825710271,1025.7269040764604,684,4231.970760233919,1,0,0,5.8,,,,,,,0.0,0.0,,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2005,7.154768251384353,7.644725853165363,1.3942183530923722,2650.8847338678493,344,927.0494186046512,5.948205599214322,5.745270913719617,1.3919657197111757,1042.5711184256154,786,4079.0203562340967,1,0,0,5.3,34999.0,2701431.0,13.46,77.02,,,0.0,0.0,5392.327251741762,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2006,6.8533721711405855,6.442418390601215,1.3458350505437262,2045.677131734252,269,843.360594795539,5.899754034947407,5.7205507098075286,1.4186594439856626,1028.8895388990086,900,3214.1744444444444,1,0,0,5.2,36599.0,2810872.0,13.83,76.34,,,0.0,0.0,5483.351785495746,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2007,6.657122002588116,6.332687386487793,1.3558797780360368,1837.7969744369896,267,788.0074906367041,5.892717218688705,5.721662215705283,1.352221636302366,930.0411973114052,817,4611.858017135863,1,0,0,5.4,38134.0,2834797.0,14.04,75.9,,,0.0,0.0,5785.246703732225,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2008,6.60837805218887,6.232380655314644,1.3962804200023706,1881.2998675196943,219,1007.4018264840182,5.984055784463524,5.803850249489785,1.4099899436792795,1054.3735388140892,629,5115.659777424483,1,0,0,5.4,38815.0,2855390.0,14.16,75.61,17.32,,0.0,0.0,6025.096396639338,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2009,6.408790978161594,5.855962101264597,1.4041954905421083,1606.4397779978467,327,770.2354740061162,5.82212694928647,5.698053928346756,1.320508408017833,845.3564994564741,822,3106.188564476886,1,0,0,7.7,37823.0,2889450.0,14.28,74.99,18.79,17.03,0.0,0.0,6238.903597570472,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2010,6.359080570833786,5.806969365101457,1.3753150779715486,1525.7412977036277,352,763.0142045454545,5.806674713968671,5.700123305786575,1.26480341939369,808.0372474656623,913,2528.637458926616,1,1,1,7.8,38307.0,2921606.0,14.38,74.49,18.84,17.46,0.0,0.0,6378.683504894226,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2011,6.324641082087886,5.773002259736089,1.3653187779738822,1424.6094715942745,402,772.2164179104477,5.779294885259177,5.649691835563094,1.278794792719142,799.6646757419926,872,3671.2522935779816,1,1,1,7.9,38758.0,2937979.0,14.59,74.25,19.46,17.06,0.0,0.0,6547.698264691477,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,2012,6.347794378882583,5.795733089811854,1.371660095395521,1479.6786874364598,449,946.2472160356348,5.730301619874964,5.610833305751102,1.27799240462764,749.8013053592217,1028,2476.032101167315,1,1,1,7.2,40112.0,2949131.0,14.96,73.89,19.83,16.45,0.0,0.0,6781.319649754453,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AR,2013,6.377749602894733,5.845930189316607,1.385784410754492,1508.4628066026287,507,898.0710059171597,5.715632725426881,5.61872028332169,1.2796134028759532,748.6165221380809,1020,2538.595098039216,1,1,1,7.0,40511.0,2959373.0,15.33,73.6,19.68,15.99,0.0,0.0,6821.715275499236,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
